"GEOID","king_county","RPL_THEMES_QUARTILE_WA","RPL_THEMES_QUARTILE_KC","PED3_16_20","PFAMINCGE125K16_20","PPROF16_20","AFFLUENCE16_20_armcreate","affluence_quartile_WA","affluence_quartile_KC","perc_burden_gte30_quartile_WA","perc_burden_gte30_quartile_KC","perc_renter_quartile_WA","perc_renter_quartile_KC","perc_lt150poverty_quartile_WA","perc_lt150poverty_quartile_KC","medianincome_quartile_WA","medianincome_quartile_KC","perc_unemployed_quartile_WA","perc_unemployed_quartile_KC","perc_novehicle_quartile_WA","perc_novehicle_quartile_KC"
53001950100,FALSE,3,NA,0.2286193370819,0.1758064478636,0.3164794147015,0.240301733215667,3,NA,2,NA,3,NA,4,NA,4,NA,2,NA,4,NA
53001950200,FALSE,3,NA,0.205035969615,0.0655737668276,0.2282749712467,0.1662949025631,4,NA,1,NA,4,NA,4,NA,3,NA,2,NA,1,NA
53001950301,FALSE,4,NA,0.0570175424218,0.0300751887262,0.1897533237934,0.0922820183138,4,NA,3,NA,3,NA,4,NA,4,NA,1,NA,3,NA
53001950302,FALSE,4,NA,0.0770992338657,0.1516853868961,0.1306818127632,0.119822144508333,4,NA,1,NA,3,NA,3,NA,4,NA,4,NA,3,NA
53001950303,FALSE,4,NA,0.145387455821,0.2486772537231,0.2183406054974,0.204135105013833,4,NA,1,NA,1,NA,4,NA,4,NA,3,NA,1,NA
53001950400,FALSE,4,NA,0.1811550110579,0.1637681126595,0.2429426908493,0.195955271522233,4,NA,3,NA,4,NA,4,NA,4,NA,3,NA,4,NA
53001950500,FALSE,4,NA,0.0768651068211,0.0645161271095,0.1935767680407,0.111652667323767,4,NA,2,NA,4,NA,4,NA,4,NA,4,NA,2,NA
53003960100,FALSE,2,NA,0.2968007624149,0.3333333134651,0.4728059470654,0.367646674315133,2,NA,1,NA,1,NA,2,NA,2,NA,3,NA,2,NA
53003960200,FALSE,1,NA,0.3220564723015,0.3234672248363,0.4123539328575,0.3526258766651,2,NA,1,NA,1,NA,2,NA,3,NA,1,NA,1,NA
53003960300,FALSE,4,NA,0.1563409566879,0.0184615384787,0.2279184609652,0.1342403187106,4,NA,4,NA,3,NA,4,NA,4,NA,4,NA,3,NA
53003960400,FALSE,4,NA,0.1368540674448,0.0354838706553,0.1988165676594,0.1237181685865,4,NA,4,NA,3,NA,4,NA,4,NA,4,NA,3,NA
53003960500,FALSE,4,NA,0.1901867091656,0.0435435436666,0.2278402000666,0.153856817632933,4,NA,2,NA,4,NA,4,NA,4,NA,3,NA,3,NA
53003960600,FALSE,2,NA,0.2084889709949,0.1600753366947,0.3141671717167,0.2275771598021,4,NA,2,NA,3,NA,4,NA,4,NA,1,NA,2,NA
53005010100,FALSE,1,NA,0.5819131135941,0.4535478949547,0.6305271983147,0.555329402287833,1,NA,1,NA,2,NA,1,NA,1,NA,2,NA,1,NA
53005010201,FALSE,1,NA,0.4735982716084,0.3756419420242,0.4926343262196,0.447291513284067,2,NA,1,NA,2,NA,2,NA,1,NA,3,NA,1,NA
53005010203,FALSE,3,NA,0.4015718698502,0.2318548262119,0.485424041748,0.3729502459367,2,NA,2,NA,4,NA,3,NA,3,NA,1,NA,3,NA
53005010204,FALSE,4,NA,0.2427781224251,0.0865979343653,0.3710280358791,0.233468030889833,3,NA,4,NA,4,NA,4,NA,4,NA,3,NA,4,NA
